page,para_num,pdf_name,text
8,1,germany_2023,"Quantum sensors also offer new applications that are complementary to classic technologies. By directly relating the measurement methods to natural constants, which are defined without uncertainty by the recent redefinition of the SI system of units (2019), they offer novel possibilities for reliable, ubiquitous and highly precise sensor technology. Overall, quantum-based measurement technology is a heterogeneous field with a wide variety of technologies and numerous promising, some of which are already market-ready, application options."
8,2,germany_2023,"This ensures the guarantee of quality, traceable and secured performance parameters and the comparability of QT components. As a cross-sectional task, independent metrological characterization and qualification of components must also be considered and developed from the outset for a stable, trustworthy and reliable value chain in the emerging quantum technology industry."
8,3,germany_2023,"In international comparison, the USA is currently the world leader, particularly in quantum computing. Large corporations such as Google and IBM currently represent the state of the art in the field of superconducting quantum computing. The USA also has the highest number of start-ups in quantum technologies (92), the highest venture capital raised ($2.2 billion from 2001 to 2021) and the most academic research groups (64). The national funding is distributed across a wide range of national agencies and organizations (including NIST, NASA, DARPA) with different thematic and strategic focuses. Total government funding in 2022 was approximately $0.9 billion."
8,4,germany_2023,"Quantum-based measurement technology is probably the field with the highest technological maturity in the field of quantum technologies. For example, nitrogen vacancy centers in diamond are already used in special microscopes. The first quantum gravimeters are also available on the market and enable the measurement of the Earth's gravity field for applications in geology or geodesy."
8,5,germany_2023,"The cross-sectional field of basic technologies (“Enabling Technologies”) is particularly indispensable for the further development of quantum technologies. It is already developing economic potential: the first markets for special lasers, control electronics and cooling technology for quantum systems have already emerged. In particular, highly specialized start-ups and small and medium-sized enterprises (SMEs) are able to generate their first sales. The future challenge will be to develop innovative overall systems from this sum of individual components and to open up further possible uses."
8,6,germany_2023,"Quantum sensing and quantum metrology state of technology in international comparison basic technologies. However, quantum metrology is not only limited to quantum sensing. It is generally concerned with making high-resolution and high-sensitivity measurements of physical parameters using quantum effects such as quantum entanglement. Quantum metrology thus promises the development of measurement techniques that enable greater precision than the same measurement using classical methods. For example, electrical quantum metrology can develop conventional measurement technology into a comprehensive quantum measurement technology. Among other things, programmable “quantum voltmeters” are already available on the market."
8,7,germany_2023,"Assumptions. A wide variety of quantum communication methods have now been demonstrated in applications, both in optical fibers and between satellites and in terrestrial free-beam connections. However, range and data rate still represent a challenge for broad application relevance. For this reason, the development of quantum repeaters, which are required as nodes to extend transmission routes, is essential as a key component for quantum communication over long distances."
9,1,germany_2023,"Use of quantum technologies is growing, especially in the field of quantum computing. However, the North American company's research activity in this area is lagging behind. Significant public funding for quantum technologies has currently been announced in the European Union ($7.2 billion in the EU versus $1.9 billion in the USA). In Germany alone, 2 billion euros are available for research and development in quantum technologies as part of the federal government's future package. "
9,2,germany_2023,"However, there is significantly less venture capital available, especially compared to the USA (0.3 billion compared to $2.2 billion). In terms of scientific publications, the European Union is a leader, both in academic quality and breadth. The number of start-ups has also more than tripled since 2015, but is far below the US figures."
9,3,germany_2023,"It is important for Germany to benefit economically and socially from the development of quantum technologies and to establish sovereign access to this future technology. The initial situation is assessed as follows: Less in international comparison with a total of $15 billion, China has announced by far the highest government funding in an international comparison. "
9,4,germany_2023,"Specific structures and strategies are less transparent, but important work has already been published on a scientific and technological level. With the help of the Micius research satellite, an intercontinental key exchange using quantum cryptographic methods was demonstrated in 2018. There are also increasing developments in quantum computing that indicate a high technological level."
9,5,germany_2023,"Quantum information theory is lacking in science and business within the framework of the dual education system and strong universities. There is a high public investment in the development of quantum technologies, and a good culture of collaboration between distinctive industrial sectors with many potential users of the technology. However, there are hurdles for start-ups and their support, and ongoing research work on almost all relevant technology platforms is needed."
5,1,eu_2005,"The reader can understand the advantages of quantum computing with respect to classical computing and the basic concepts of quantum computer science. This is followed by an article on quantum simulations, which explains how this approach can obtain results circumventing some of the difficulties of universal quantum computation. The article on decoherence presents a fundamental physical issue in QIPC and is one of its critical challenges. Next is a group of nine articles: each presenting a possible specific realization of a quantum information processor (QIP) based on a different physical system. To our knowledge, there exist two realisations of a QIP that are not presented here: one is based on nuclear magnetic resonance and the other one – on quantum dots. To date, no one specific realisation has proved to be the winning one. At present, some of them demonstrate more advantages than others or are at a more advanced stage of development. Only further research can show how a future QIP will look like. The final two articles present concrete spin-off applications of the basic principles of QIPC."
5,2,eu_2005,QIPC in the European Research Programmes: More than 15 years of research. QIPC has a high-risk nature and long-term outlook with visions within the scope of information and communication technologies. The potential of QIPC was quickly recognised by FET – the Future and Emerging Technologies programme of the Information Society Technologies priority of the Research Programme of the European Commission. The pathfinder role of FET played a crucial role for the development of QIPC in Europe.
5,3,eu_2005,"In the late 80’s and early 90’s quantum phenomena were studied by projects funded by the EC in the field of optoelectronics and electronics with the aim to overcome the limitations to the respective state-of-the-art devices. In the Fourth Framework Programme (FP4, 1995 – 1998) this research gradually evolved towards the objective of “quantum information processing”. The focus was on the demonstration of quantum effects with photons, which was technologically more mature. In the mid 90’s, important results were achieved by several groups in Europe and shortly after they became the driving force behind a number of FET projects."
5,4,eu_2005,"During 1998 the QCEPP working group (the so-called Pathfinder project) laid the basis for the research field of Quantum Information Processing and Communications at the European level and was the first endeavour explicitly to address this area of research. This working group produced an extensive report with a roadmap, a map of European research teams with relevant competencies and set the research agenda for several years ahead. It played a crucial role by organising the research community, stimulating it to reach critical mass within a short time period and building the support for the launch of QIPC as a Proactive Initiative."
5,5,eu_2005,"In FP5 (1999 – 2002) FET launched QIPC as a Proactive Initiative (PI). It was implemented via 'calls for proposals' directly targeted to QIPC. There were two calls for proposals and 25 projects were launched with an EU funding of 31 M€. The contracts of the last group of FP5 projects finish at the end of 2005. Coordinating the work of these projects is a main priority of FET. Each year, since the beginning of the proactive initiative, two major events are organised. The first one is a ‘cluster review’ and conference. Its goals are to evaluate the work of each project and how its objectives fit within the cluster, to revise priorities if necessary and to evaluate the progress of the cluster as a whole. The second event is the annual."
